,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
124,13.243772,-1.0,0.001,-1.0,-1.0
125,13.308877,-1.0,0.001,-1.0,-1.0
126,12.977931,-1.0,0.001,-1.0,-1.0
127,11.171466,-1.0,0.001,-1.0,-1.0
128,13.93055,-1.0,0.001,-1.0,-1.0
129,12.218137,-1.0,0.001,-1.0,-1.0
130,13.784043,-1.0,0.001,-1.0,-1.0
131,13.857246,-1.0,0.001,-1.0,-1.0
132,9.638637,-1.0,0.001,-1.0,-1.0
133,13.026294,-1.0,0.001,-1.0,-1.0
134,12.857772,-1.0,0.001,-1.0,-1.0
135,15.090894,-1.0,0.001,-1.0,-1.0
136,11.366364,-1.0,0.001,-1.0,-1.0
137,11.9111,-1.0,0.001,-1.0,-1.0
138,11.69163,-1.0,0.001,-1.0,-1.0
139,12.562188,-1.0,0.001,-1.0,-1.0
140,9.285155,-1.0,0.001,-1.0,-1.0
141,16.058907,-1.0,0.001,-1.0,-1.0
142,11.443824,-1.0,0.001,-1.0,-1.0
143,12.655254,-1.0,0.001,-1.0,-1.0
144,11.293836,-1.0,0.001,-1.0,-1.0
145,11.737009,-1.0,0.001,-1.0,-1.0
146,11.466237,-1.0,0.001,-1.0,-1.0
147,11.131169,-1.0,0.001,-1.0,-1.0
148,13.336918,-1.0,0.001,-1.0,-1.0
149,10.771802,-1.0,0.001,-1.0,-1.0
150,14.588035,-1.0,0.001,-1.0,-1.0
151,11.176359,-1.0,0.001,-1.0,-1.0
152,11.14749,-1.0,0.001,-1.0,-1.0
153,10.957232,-1.0,0.001,-1.0,-1.0
154,12.588129,-1.0,0.001,-1.0,-1.0
155,11.052866,-1.0,0.001,-1.0,-1.0
156,14.980119,-1.0,0.001,-1.0,-1.0
157,10.570186,-1.0,0.001,-1.0,-1.0
158,11.408666,-1.0,0.001,-1.0,-1.0
159,12.670072,-1.0,0.001,-1.0,-1.0
160,10.829273,-1.0,0.001,-1.0,-1.0
161,11.825763,-1.0,0.001,-1.0,-1.0
162,10.327699,-1.0,0.001,-1.0,-1.0
163,10.453077,-1.0,0.001,-1.0,-1.0
164,9.710079,-1.0,0.001,-1.0,-1.0
165,11.088478,-1.0,0.001,-1.0,-1.0
166,12.298198,-1.0,0.001,-1.0,-1.0
167,9.726752,-1.0,0.001,-1.0,-1.0
168,10.415279,-1.0,0.001,-1.0,-1.0
169,8.779957,-1.0,0.001,-1.0,-1.0
170,10.415652,-1.0,0.001,-1.0,-1.0
171,9.402632,-1.0,0.001,-1.0,-1.0
172,11.278843,-1.0,0.001,-1.0,-1.0
173,11.222767,-1.0,0.001,-1.0,-1.0
174,9.238838,-1.0,0.001,-1.0,-1.0
175,13.951857,-1.0,0.001,-1.0,-1.0
176,7.7735896,-1.0,0.001,-1.0,-1.0
177,13.776131,-1.0,0.001,-1.0,-1.0
178,9.758705,-1.0,0.001,-1.0,-1.0
