train_loss,val_loss,lr,mask_val_loss,regr_val_loss
7.926783,-1.0,0.001,-1.0,-1.0
7.9811883,-1.0,0.001,-1.0,-1.0
7.2094145,-1.0,0.001,-1.0,-1.0
5.9214644,-1.0,0.001,-1.0,-1.0
6.8749075,-1.0,0.001,-1.0,-1.0
6.3698516,-1.0,0.001,-1.0,-1.0
8.473177,-1.0,0.001,-1.0,-1.0
6.2227416,-1.0,0.001,-1.0,-1.0
6.4414706,-1.0,0.001,-1.0,-1.0
11.085282,-1.0,0.001,-1.0,-1.0
8.211071,-1.0,0.001,-1.0,-1.0
10.594292,-1.0,0.001,-1.0,-1.0
5.9579234,-1.0,0.001,-1.0,-1.0
5.800901,-1.0,0.001,-1.0,-1.0
5.29186,-1.0,0.001,-1.0,-1.0
9.00494,-1.0,0.001,-1.0,-1.0
8.1193285,-1.0,0.001,-1.0,-1.0
10.200708,-1.0,0.001,-1.0,-1.0
7.5667386,-1.0,0.001,-1.0,-1.0
5.556044,-1.0,0.001,-1.0,-1.0
7.93847,-1.0,0.001,-1.0,-1.0
8.728551,-1.0,0.001,-1.0,-1.0
9.220282,-1.0,0.001,-1.0,-1.0
8.381937,-1.0,0.001,-1.0,-1.0
7.9428515,-1.0,0.001,-1.0,-1.0
7.4387307,-1.0,0.001,-1.0,-1.0
8.511767,-1.0,0.001,-1.0,-1.0
6.2089376,-1.0,0.001,-1.0,-1.0
6.759646,-1.0,0.001,-1.0,-1.0
5.9443254,-1.0,0.001,-1.0,-1.0
7.6195197,-1.0,0.001,-1.0,-1.0
5.3575883,-1.0,0.001,-1.0,-1.0
6.3202605,-1.0,0.001,-1.0,-1.0
6.4941983,-1.0,0.001,-1.0,-1.0
8.005178,-1.0,0.001,-1.0,-1.0
7.513685,-1.0,0.001,-1.0,-1.0
7.2495103,-1.0,0.001,-1.0,-1.0
5.9689207,-1.0,0.001,-1.0,-1.0
6.033127,-1.0,0.001,-1.0,-1.0
5.5007944,-1.0,0.001,-1.0,-1.0
7.0019484,-1.0,0.001,-1.0,-1.0
