,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
272,5.8210855,-1.0,0.001,-1.0,-1.0
273,6.4429464,-1.0,0.001,-1.0,-1.0
274,5.8905773,-1.0,0.001,-1.0,-1.0
275,5.6536336,-1.0,0.001,-1.0,-1.0
276,4.030327,-1.0,0.001,-1.0,-1.0
277,7.7471776,-1.0,0.001,-1.0,-1.0
278,5.434151,-1.0,0.001,-1.0,-1.0
279,4.7610946,-1.0,0.001,-1.0,-1.0
280,5.812105,-1.0,0.001,-1.0,-1.0
281,5.078648,-1.0,0.001,-1.0,-1.0
282,4.3301897,-1.0,0.001,-1.0,-1.0
283,5.525219,-1.0,0.001,-1.0,-1.0
284,5.944285,-1.0,0.001,-1.0,-1.0
285,5.1650352,-1.0,0.001,-1.0,-1.0
286,8.010833,-1.0,0.001,-1.0,-1.0
287,4.8069143,-1.0,0.001,-1.0,-1.0
288,4.713329,-1.0,0.001,-1.0,-1.0
289,8.999166,-1.0,0.001,-1.0,-1.0
290,5.590752,-1.0,0.001,-1.0,-1.0
291,5.4823546,-1.0,0.001,-1.0,-1.0
292,4.924474,-1.0,0.001,-1.0,-1.0
293,7.6982055,-1.0,0.001,-1.0,-1.0
294,7.617055,-1.0,0.001,-1.0,-1.0
295,8.332684,-1.0,0.001,-1.0,-1.0
296,4.3430758,-1.0,0.001,-1.0,-1.0
297,8.138391,-1.0,0.001,-1.0,-1.0
298,6.7503705,-1.0,0.001,-1.0,-1.0
299,6.9691305,-1.0,0.001,-1.0,-1.0
300,6.614915,-1.0,0.001,-1.0,-1.0
301,5.725596,-1.0,0.001,-1.0,-1.0
302,7.3856645,-1.0,0.001,-1.0,-1.0
303,7.266492,-1.0,0.001,-1.0,-1.0
304,5.1773334,-1.0,0.001,-1.0,-1.0
305,8.1329975,-1.0,0.001,-1.0,-1.0
306,5.2187576,-1.0,0.001,-1.0,-1.0
307,6.8306518,-1.0,0.001,-1.0,-1.0
308,6.8056736,-1.0,0.001,-1.0,-1.0
309,7.9426255,-1.0,0.001,-1.0,-1.0
310,6.263218,-1.0,0.001,-1.0,-1.0
311,5.3684072,-1.0,0.001,-1.0,-1.0
312,5.687408,-1.0,0.001,-1.0,-1.0
313,9.338528,-1.0,0.001,-1.0,-1.0
314,7.428029,-1.0,0.001,-1.0,-1.0
315,5.5784974,-1.0,0.001,-1.0,-1.0
316,6.6608925,-1.0,0.001,-1.0,-1.0
317,7.724778,-1.0,0.001,-1.0,-1.0
318,7.6526265,-1.0,0.001,-1.0,-1.0
319,5.717345,-1.0,0.001,-1.0,-1.0
320,6.4386725,-1.0,0.001,-1.0,-1.0
321,8.144121,-1.0,0.001,-1.0,-1.0
322,6.306331,-1.0,0.001,-1.0,-1.0
323,4.473428,-1.0,0.001,-1.0,-1.0
324,6.131426,-1.0,0.001,-1.0,-1.0
325,4.4932914,-1.0,0.001,-1.0,-1.0
326,6.2166405,-1.0,0.001,-1.0,-1.0
327,8.625779,-1.0,0.001,-1.0,-1.0
328,8.34218,-1.0,0.001,-1.0,-1.0
329,5.0647907,-1.0,0.001,-1.0,-1.0
330,5.5517693,-1.0,0.001,-1.0,-1.0
331,6.883607,-1.0,0.001,-1.0,-1.0
332,5.4649196,-1.0,0.001,-1.0,-1.0
333,5.195015,-1.0,0.001,-1.0,-1.0
334,5.853202,-1.0,0.001,-1.0,-1.0
335,4.858666,-1.0,0.001,-1.0,-1.0
336,7.9338417,-1.0,0.001,-1.0,-1.0
337,3.8841717,-1.0,0.001,-1.0,-1.0
338,6.971322,-1.0,0.001,-1.0,-1.0
339,4.5044646,-1.0,0.001,-1.0,-1.0
340,7.4079514,-1.0,0.001,-1.0,-1.0
341,6.189857,-1.0,0.001,-1.0,-1.0
342,7.051437,-1.0,0.001,-1.0,-1.0
343,4.922028,-1.0,0.001,-1.0,-1.0
344,5.7639103,-1.0,0.001,-1.0,-1.0
345,4.9669,-1.0,0.001,-1.0,-1.0
346,4.0243363,-1.0,0.001,-1.0,-1.0
347,7.5284038,-1.0,0.001,-1.0,-1.0
348,5.592178,-1.0,0.001,-1.0,-1.0
349,5.854893,-1.0,0.001,-1.0,-1.0
350,5.35359,-1.0,0.001,-1.0,-1.0
351,7.034084,-1.0,0.001,-1.0,-1.0
352,7.7988887,-1.0,0.001,-1.0,-1.0
353,7.168141,-1.0,0.001,-1.0,-1.0
354,5.6436143,-1.0,0.001,-1.0,-1.0
355,6.0497603,-1.0,0.001,-1.0,-1.0
356,5.8155155,-1.0,0.001,-1.0,-1.0
357,6.0879107,-1.0,0.001,-1.0,-1.0
358,6.571246,-1.0,0.001,-1.0,-1.0
359,6.192565,-1.0,0.001,-1.0,-1.0
360,6.4328566,-1.0,0.001,-1.0,-1.0
361,4.7105865,-1.0,0.001,-1.0,-1.0
362,7.312409,-1.0,0.001,-1.0,-1.0
363,6.1531715,-1.0,0.001,-1.0,-1.0
364,5.779148,-1.0,0.001,-1.0,-1.0
365,8.9946165,-1.0,0.001,-1.0,-1.0
366,7.634574,-1.0,0.001,-1.0,-1.0
367,4.528863,-1.0,0.001,-1.0,-1.0
368,4.092684,-1.0,0.001,-1.0,-1.0
369,7.251336,-1.0,0.001,-1.0,-1.0
370,5.8836465,-1.0,0.001,-1.0,-1.0
371,5.194927,-1.0,0.001,-1.0,-1.0
372,5.9591475,-1.0,0.001,-1.0,-1.0
373,5.634297,-1.0,0.001,-1.0,-1.0
374,5.924659,-1.0,0.001,-1.0,-1.0
375,7.31275,-1.0,0.001,-1.0,-1.0
376,7.610898,-1.0,0.001,-1.0,-1.0
377,8.010816,-1.0,0.001,-1.0,-1.0
378,6.081257,-1.0,0.001,-1.0,-1.0
379,5.8253827,-1.0,0.001,-1.0,-1.0
380,5.0185957,-1.0,0.001,-1.0,-1.0
381,4.1906757,-1.0,0.001,-1.0,-1.0
382,5.059417,-1.0,0.001,-1.0,-1.0
383,4.4952903,-1.0,0.001,-1.0,-1.0
384,5.288288,-1.0,0.001,-1.0,-1.0
385,7.91251,-1.0,0.001,-1.0,-1.0
386,4.254647,-1.0,0.001,-1.0,-1.0
387,7.008278,-1.0,0.001,-1.0,-1.0
388,5.9685636,-1.0,0.001,-1.0,-1.0
389,4.13381,-1.0,0.001,-1.0,-1.0
390,4.788019,-1.0,0.001,-1.0,-1.0
391,3.9605448,-1.0,0.001,-1.0,-1.0
392,9.59788,-1.0,0.001,-1.0,-1.0
393,6.2457585,-1.0,0.001,-1.0,-1.0
394,5.054023,-1.0,0.001,-1.0,-1.0
395,7.399886,-1.0,0.001,-1.0,-1.0
396,5.918703,-1.0,0.001,-1.0,-1.0
397,6.330179,-1.0,0.001,-1.0,-1.0
398,5.5122128,-1.0,0.001,-1.0,-1.0
399,6.4475493,-1.0,0.001,-1.0,-1.0
400,3.961306,-1.0,0.001,-1.0,-1.0
401,4.1878347,-1.0,0.001,-1.0,-1.0
402,4.1784463,-1.0,0.001,-1.0,-1.0
403,3.9687219,-1.0,0.001,-1.0,-1.0
404,3.2295766,-1.0,0.001,-1.0,-1.0
405,5.31007,-1.0,0.001,-1.0,-1.0
406,4.878772,-1.0,0.001,-1.0,-1.0
407,6.504093,-1.0,0.001,-1.0,-1.0
408,2.8930326,-1.0,0.001,-1.0,-1.0
409,6.702337,-1.0,0.001,-1.0,-1.0
410,5.550576,-1.0,0.001,-1.0,-1.0
411,7.519444,-1.0,0.001,-1.0,-1.0
412,7.5298395,-1.0,0.001,-1.0,-1.0
413,4.023909,-1.0,0.001,-1.0,-1.0
414,4.2211776,-1.0,0.001,-1.0,-1.0
415,4.9095044,-1.0,0.001,-1.0,-1.0
416,7.230741,-1.0,0.001,-1.0,-1.0
417,9.149675,-1.0,0.001,-1.0,-1.0
418,4.4445596,-1.0,0.001,-1.0,-1.0
419,6.9702873,-1.0,0.001,-1.0,-1.0
420,4.572187,-1.0,0.001,-1.0,-1.0
421,5.5093203,-1.0,0.001,-1.0,-1.0
422,5.113535,-1.0,0.001,-1.0,-1.0
423,4.853636,-1.0,0.001,-1.0,-1.0
424,6.2189045,-1.0,0.001,-1.0,-1.0
425,5.362064,-1.0,0.001,-1.0,-1.0
426,5.416135,-1.0,0.001,-1.0,-1.0
427,6.201015,-1.0,0.001,-1.0,-1.0
428,8.628123,-1.0,0.001,-1.0,-1.0
429,5.4293556,-1.0,0.001,-1.0,-1.0
430,3.610017,-1.0,0.001,-1.0,-1.0
431,5.1091056,-1.0,0.001,-1.0,-1.0
432,5.5050087,-1.0,0.001,-1.0,-1.0
433,7.144845,-1.0,0.001,-1.0,-1.0
434,5.1718946,-1.0,0.001,-1.0,-1.0
435,4.557588,-1.0,0.001,-1.0,-1.0
436,5.033345,-1.0,0.001,-1.0,-1.0
437,4.414927,-1.0,0.001,-1.0,-1.0
438,4.123969,-1.0,0.001,-1.0,-1.0
439,5.1998005,-1.0,0.001,-1.0,-1.0
440,5.748357,-1.0,0.001,-1.0,-1.0
441,9.24198,-1.0,0.001,-1.0,-1.0
442,5.399558,-1.0,0.001,-1.0,-1.0
443,6.3962755,-1.0,0.001,-1.0,-1.0
444,4.9657464,-1.0,0.001,-1.0,-1.0
445,5.5712476,-1.0,0.001,-1.0,-1.0
446,4.5833387,-1.0,0.001,-1.0,-1.0
447,6.6627584,-1.0,0.001,-1.0,-1.0
448,3.954218,-1.0,0.001,-1.0,-1.0
449,6.5893235,-1.0,0.001,-1.0,-1.0
450,3.7015162,-1.0,0.001,-1.0,-1.0
451,5.9834967,-1.0,0.001,-1.0,-1.0
452,4.023524,-1.0,0.001,-1.0,-1.0
453,4.618483,-1.0,0.001,-1.0,-1.0
454,4.459775,-1.0,0.001,-1.0,-1.0
455,6.337078,-1.0,0.001,-1.0,-1.0
456,4.998407,-1.0,0.001,-1.0,-1.0
457,3.7634368,-1.0,0.001,-1.0,-1.0
458,5.6036224,-1.0,0.001,-1.0,-1.0
459,3.718992,-1.0,0.001,-1.0,-1.0
460,4.7677345,-1.0,0.001,-1.0,-1.0
461,3.4138389,-1.0,0.001,-1.0,-1.0
462,3.0656743,-1.0,0.001,-1.0,-1.0
463,5.6218767,-1.0,0.001,-1.0,-1.0
464,4.4007826,-1.0,0.001,-1.0,-1.0
465,6.0058317,-1.0,0.001,-1.0,-1.0
466,3.6404395,-1.0,0.001,-1.0,-1.0
467,4.30512,-1.0,0.001,-1.0,-1.0
468,5.566526,-1.0,0.001,-1.0,-1.0
469,4.877767,-1.0,0.001,-1.0,-1.0
470,4.2462525,-1.0,0.001,-1.0,-1.0
471,2.6123204,-1.0,0.001,-1.0,-1.0
472,5.0740213,-1.0,0.001,-1.0,-1.0
473,5.9911437,-1.0,0.001,-1.0,-1.0
474,5.5834723,-1.0,0.001,-1.0,-1.0
475,4.1533365,-1.0,0.001,-1.0,-1.0
476,4.4894857,-1.0,0.001,-1.0,-1.0
477,4.5066614,-1.0,0.001,-1.0,-1.0
478,4.7127547,-1.0,0.001,-1.0,-1.0
479,4.1622944,-1.0,0.001,-1.0,-1.0
480,6.1395993,-1.0,0.001,-1.0,-1.0
481,4.338516,-1.0,0.001,-1.0,-1.0
482,4.4994993,-1.0,0.001,-1.0,-1.0
483,7.493647,-1.0,0.001,-1.0,-1.0
484,3.9859958,-1.0,0.001,-1.0,-1.0
485,4.4118743,-1.0,0.001,-1.0,-1.0
486,4.8604903,-1.0,0.001,-1.0,-1.0
487,5.8453026,-1.0,0.001,-1.0,-1.0
488,7.2194877,-1.0,0.001,-1.0,-1.0
489,4.0118604,-1.0,0.001,-1.0,-1.0
490,4.4647684,-1.0,0.001,-1.0,-1.0
491,4.4210396,-1.0,0.001,-1.0,-1.0
492,5.114127,-1.0,0.001,-1.0,-1.0
493,5.150601,-1.0,0.001,-1.0,-1.0
494,3.7909083,-1.0,0.001,-1.0,-1.0
495,4.633142,-1.0,0.001,-1.0,-1.0
496,5.2267437,-1.0,0.001,-1.0,-1.0
497,4.7980447,-1.0,0.001,-1.0,-1.0
498,5.105508,-1.0,0.001,-1.0,-1.0
499,6.6863756,-1.0,0.001,-1.0,-1.0
500,3.4159868,-1.0,0.001,-1.0,-1.0
501,4.64594,-1.0,0.001,-1.0,-1.0
502,4.4988623,-1.0,0.001,-1.0,-1.0
503,5.0182195,-1.0,0.001,-1.0,-1.0
504,6.4119387,-1.0,0.001,-1.0,-1.0
505,4.0436234,-1.0,0.001,-1.0,-1.0
506,5.7709427,-1.0,0.001,-1.0,-1.0
507,4.6990447,-1.0,0.001,-1.0,-1.0
508,5.610187,-1.0,0.001,-1.0,-1.0
509,4.914276,-1.0,0.001,-1.0,-1.0
510,5.1818395,-1.0,0.001,-1.0,-1.0
511,6.0337353,-1.0,0.001,-1.0,-1.0
512,5.2441325,-1.0,0.001,-1.0,-1.0
513,5.0422115,-1.0,0.001,-1.0,-1.0
514,7.0791364,-1.0,0.001,-1.0,-1.0
515,3.8826013,-1.0,0.001,-1.0,-1.0
516,8.794579,-1.0,0.001,-1.0,-1.0
517,4.487116,-1.0,0.001,-1.0,-1.0
518,3.4765763,-1.0,0.001,-1.0,-1.0
519,6.14679,-1.0,0.001,-1.0,-1.0
520,4.6282616,-1.0,0.001,-1.0,-1.0
521,5.698132,-1.0,0.001,-1.0,-1.0
522,4.917758,-1.0,0.001,-1.0,-1.0
523,6.2886477,-1.0,0.001,-1.0,-1.0
524,5.514172,-1.0,0.001,-1.0,-1.0
525,3.6794503,-1.0,0.001,-1.0,-1.0
526,4.151144,-1.0,0.001,-1.0,-1.0
